epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
40,5035.37,0.89214,0.61416,1.26792,0.95841,0.89484,0.95699,0.74273,0.87017,0.57055,1.35785,2.278e-05,2.278e-05,2.278e-05
41,5161.43,0.79565,0.55213,1.22661,0.93047,0.91269,0.95109,0.75165,0.85301,0.56476,1.3268,2.08e-05,2.08e-05,2.08e-05
42,5287.07,0.76859,0.51394,1.20567,0.93941,0.91173,0.95851,0.75916,0.85244,0.56193,1.31651,1.882e-05,1.882e-05,1.882e-05
43,5412.68,0.75761,0.50175,1.19306,0.95747,0.90338,0.95855,0.74691,0.85563,0.55498,1.3456,1.684e-05,1.684e-05,1.684e-05
44,5538.36,0.75327,0.49739,1.18966,0.95659,0.89944,0.9561,0.75086,0.85123,0.54521,1.33632,1.486e-05,1.486e-05,1.486e-05
45,5664.26,0.74073,0.48658,1.18259,0.94994,0.90648,0.95795,0.76217,0.83738,0.54231,1.31289,1.288e-05,1.288e-05,1.288e-05
46,5789.26,0.72622,0.47226,1.17019,0.95116,0.91094,0.9552,0.76278,0.8274,0.53297,1.30391,1.09e-05,1.09e-05,1.09e-05
47,5914.84,0.71864,0.46706,1.16107,0.95481,0.90311,0.95761,0.76032,0.83913,0.53391,1.32117,8.92e-06,8.92e-06,8.92e-06
48,6040.15,0.71215,0.46502,1.16232,0.95514,0.9027,0.95517,0.76059,0.83497,0.53618,1.32416,6.94e-06,6.94e-06,6.94e-06
49,6165.6,0.71332,0.45809,1.15918,0.95504,0.90725,0.95948,0.757,0.82947,0.53036,1.31822,4.96e-06,4.96e-06,4.96e-06
50,6291.3,0.70789,0.46234,1.15674,0.95751,0.90253,0.95775,0.75799,0.83382,0.53405,1.32225,2.98e-06,2.98e-06,2.98e-06
